municipio,latitude,longitude,status_atual,status_sugerido,batalhao_atual,batalhao_sugerido,companhia_atual,companhia_sugerida,distancia_rodoviaria_ao_batalhao_atual_km,distancia_rodoviaria_ao_batalhao_sugerido_km,ganho_km,mudar_batalhao,mudar_status,justificativa_tecnica,criterio_batalhao,criterio_companhia,classificacao_analitica,ganho_significativo
Acaraú,-2.887689,-40.118306,companhia,companhia,Sobral,Sobral,Acaraú,Acaraú,108.3581,108.3581,0.0,nao,nao,Acaraú foi mantido em Sobral por estabilidade estrutural; a diferença para Itapipoca ficou dentro da margem configurada de 15.0 km.,margem_estabilidade,municipio_definido_como_companhia,estavel,False
Acopiara,-6.089114,-39.448042,pelotao,pelotao,Juazeiro do Norte,Quixadá,Iguatu,Quixeramobim,192.3033,174.6029,17.7004,sim,nao,Acopiara foi redistribuído de Juazeiro do Norte para Quixadá por menor distância rodoviária real (174.6 km frente a 192.3 km) com ganho de 17.7 km. Subordinação sugerida à companhia Quixeramobim (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,redistribuido,False
Amontada,-3.360166,-39.830743,pelotao,pelotao,Sobral,Itapipoca,Acaraú,Itapipoca,81.6746,32.5873,49.0873,sim,nao,Amontada foi redistribuído de Sobral para Itapipoca por menor distância rodoviária real (32.6 km frente a 81.7 km) com ganho de 49.1 km. Subordinação sugerida à companhia Itapipoca (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True
Aquiraz,-3.899293,-38.389563,companhia,companhia,Caucaia,Caucaia,Aquiraz,Aquiraz,45.2468,45.2468,0.0,nao,nao,Aquiraz foi mantido em Caucaia por estabilidade estrutural; a diferença para Horizonte ficou dentro da margem configurada de 15.0 km.,margem_estabilidade,municipio_definido_como_companhia,estavel,False
Aracati,-4.558259,-37.767894,companhia,companhia,Russas,Russas,Aracati,Aracati,71.4417,71.4417,0.0,nao,nao,A alocação atual em Russas já é a mais eficiente em distância rodoviária real (71.4 km).,estrutura_atual_ja_eficiente,municipio_definido_como_companhia,estavel,False
Aracoiaba,-4.371805,-38.812471,pelotao,pelotao,Russas,Horizonte,Quixadá,Pacajus,137.7343,62.08,75.6543,sim,nao,Aracoiaba foi redistribuído de Russas para Horizonte por menor distância rodoviária real (62.1 km frente a 137.7 km) com ganho de 75.7 km. Subordinação sugerida à companhia Pacajus (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True
Aurora,-6.942651,-38.967633,pelotao,pelotao,Juazeiro do Norte,Juazeiro do Norte,Brejo Santo,Juazeiro do Norte,70.9135,70.9135,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (70.9 km). Subordinação sugerida à companhia Juazeiro do Norte (companhia_mais_proxima_por_distancia_rodoviaria).,estrutura_atual_ja_eficiente,companhia_mais_proxima_por_distancia_rodoviaria,estavel,False
Barbalha,-7.311391,-39.302506,companhia,companhia,Juazeiro do Norte,Juazeiro do Norte,Barbalha,Barbalha,13.6347,13.6347,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (13.6 km).,estrutura_atual_ja_eficiente,municipio_definido_como_companhia,estavel,False
Baturité,-4.328526,-38.884358,pelotao,pelotao,Russas,Horizonte,Quixadá,Pacajus,149.6877,74.0334,75.6543,sim,nao,Baturité foi redistribuído de Russas para Horizonte por menor distância rodoviária real (74.0 km frente a 149.7 km) com ganho de 75.7 km. Subordinação sugerida à companhia Pacajus (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True
Beberibe,-4.177415,-38.127075,pelotao,pelotao,Russas,Horizonte,Aracati,Pacajus,103.6145,53.6095,50.005,sim,nao,Beberibe foi redistribuído de Russas para Horizonte por menor distância rodoviária real (53.6 km frente a 103.6 km) com ganho de 50.0 km. Subordinação sugerida à companhia Pacajus (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True
Bela Cruz,-3.050514,-40.167126,pelotao,pelotao,Sobral,Sobral,Acaraú,Acaraú,96.308,96.308,0.0,nao,nao,Bela Cruz foi mantido em Sobral por estabilidade estrutural; a diferença para Itapipoca ficou dentro da margem configurada de 15.0 km. Subordinação sugerida à companhia Acaraú (companhia_mantida_por_estabilidade).,margem_estabilidade,companhia_mantida_por_estabilidade,estavel,False
Boa Viagem,-5.122413,-39.732217,pelotao,pelotao,Russas,Quixadá,Quixeramobim,Quixeramobim,275.0736,139.8218,135.2518,sim,nao,"Boa Viagem foi ajustado para Quixadá para evitar fragmentação territorial, com desempenho técnico dentro de 10.0 km do melhor concorrente. Subordinação sugerida à companhia Quixeramobim (companhia_mantida_por_estabilidade).",coerencia_territorial,companhia_mantida_por_estabilidade,forte_ganho,True
Brejo Santo,-7.493608,-38.986519,companhia,companhia,Juazeiro do Norte,Juazeiro do Norte,Brejo Santo,Brejo Santo,63.3363,63.3363,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (63.3 km).,estrutura_atual_ja_eficiente,municipio_definido_como_companhia,estavel,False
Camocim,-2.900501,-40.841281,companhia,companhia,Sobral,Sobral,Camocim,Camocim,125.8989,125.8989,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (125.9 km).,estrutura_atual_ja_eficiente,municipio_definido_como_companhia,estavel,False
Campos Sales,-7.074116,-40.376407,pelotao,pelotao,Juazeiro do Norte,Juazeiro do Norte,Tauá,Crato,147.915,147.915,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (147.9 km). Subordinação sugerida à companhia Crato (companhia_mais_proxima_por_distancia_rodoviaria).,estrutura_atual_ja_eficiente,companhia_mais_proxima_por_distancia_rodoviaria,estavel,False
