municipio_origem,municipio_destino,destino_eh_batalhao_candidato,distance_km,duration_min
Acaraú,Acaraú,False,0.0,0.0
Acaraú,Acopiara,False,452.281,472.19
Acaraú,Amontada,False,75.6956,71.18
Acaraú,Aquiraz,False,255.4187,245.721667
Acaraú,Aracati,False,374.9033,354.506667
Acaraú,Aracoiaba,False,298.8005,275.626667
Acaraú,Aurora,False,687.8727,611.676667
Acaraú,Barbalha,False,667.0031,648.623333
Acaraú,Baturité,False,310.7296,288.276667
Acaraú,Beberibe,False,308.7124,297.24
Acaraú,Bela Cruz,False,26.8803,27.92
Acaraú,Boa Viagem,False,318.0213,326.456667
Acaraú,Brejo Santo,False,742.2051,644.278333
Acaraú,Camocim,False,119.5853,111.758333
Acaraú,Campos Sales,False,629.5368,580.481667
Acaraú,Canindé,False,255.2049,257.128333
Acaraú,Caririaçu,False,615.6536,617.226667
Acaraú,Cascavel,False,287.9748,277.643333
Acaraú,Caucaia,True,218.3694,207.711667
Acaraú,Cedro,False,544.1344,561.753333
Acaraú,Chorozinho,False,291.3784,280.256667
Acaraú,Crateús,True,322.6091,305.183333
Acaraú,Crato,False,646.9558,628.801667
Acaraú,Cruz,False,9.803,10.933333
Acaraú,Eusébio,True,248.0064,236.485
Acaraú,Forquilha,False,117.6791,110.578333
Acaraú,Fortaleza,False,234.3671,226.858333
Acaraú,Granja,False,93.0977,89.281667
Acaraú,Guaiúba,False,254.0933,237.681667
Acaraú,Guaraciaba do Norte,False,203.4542,200.043333
Acaraú,Horizonte,True,273.0608,271.741667
Acaraú,Ibiapina,False,183.0554,175.96
Acaraú,Icapuí,False,426.9723,399.311667
Acaraú,Icó,False,603.812,540.006667
Acaraú,Iguatu,False,489.3205,510.321667
Acaraú,Independência,False,367.5349,347.605
Acaraú,Ipu,False,210.7599,200.733333
Acaraú,Ipueiras,False,235.5647,223.408333
Acaraú,Itaitinga,False,253.6712,242.623333
Acaraú,Itapajé,False,144.7397,140.13
Acaraú,Itapipoca,True,107.1939,104.305
Acaraú,Itarema,False,24.2307,25.73
Acaraú,Jaguaribe,False,534.9128,487.516667
Acaraú,Jaguaruana,False,408.2323,389.113333
Acaraú,Jardim,False,704.1561,683.333333
Acaraú,Juazeiro do Norte,True,643.2488,637.68
Acaraú,Lavras da Mangabeira,False,661.836,582.94
Acaraú,Limoeiro do Norte,False,420.5324,403.953333
Acaraú,Maracanaú,False,232.493,222.641667
Acaraú,Maranguape,False,234.814,224.258333
Acaraú,Marco,False,35.4602,34.17
Acaraú,Massapê,False,94.1464,92.155
Acaraú,Mauriti,False,733.4344,640.676667
Acaraú,Milagres,False,720.8712,628.501667
Acaraú,Missão Velha,False,748.0411,650.918333
Acaraú,Mombaça,False,405.0873,423.256667
Acaraú,Morada Nova,False,387.9238,380.313333
Acaraú,Nova Russas,False,266.0624,252.095
Acaraú,Novo Oriente,False,363.5518,342.861667
Acaraú,Ocara,False,316.6664,293.343333
Acaraú,Pacajus,False,276.6042,265.493333
Acaraú,Pacatuba,False,246.2589,231.62
Acaraú,Paracuru,False,165.4528,162.695
Acaraú,Paraipaba,False,148.8309,142.305
Acaraú,Parambu,False,456.7174,429.293333
Acaraú,Pedra Branca,False,359.3427,371.77
Acaraú,Pentecoste,False,166.4235,169.685
Acaraú,Quixadá,True,380.3276,360.583333
Acaraú,Quixeramobim,False,385.8047,381.448333
Acaraú,Redenção,False,280.7798,259.615
Acaraú,Russas,True,389.5568,372.846667
Acaraú,Santa Quitéria,False,186.1741,183.208333
Acaraú,Santana do Acaraú,False,72.5077,68.781667
Acaraú,Senador Pompeu,False,410.4302,422.933333
Acaraú,Sobral,True,108.3581,103.913333
Acaraú,São Benedito,False,197.6928,191.54
Acaraú,São Gonçalo do Amarante,False,172.5317,164.535
Acaraú,Tabuleiro do Norte,False,431.9785,414.936667
Acaraú,Tamboril,False,251.6673,245.393333
Acaraú,Tauá,False,440.2574,415.573333
Acaraú,Tianguá,False,190.0567,178.778333
