nome,nome_normalizado,latitude,longitude,id_municipio,tipo_atual,status_atual,batalhao_codigo_atual,batalhao_atual,companhia_atual,subordinacao_atual,observacoes,fonte_estrutura,fonte_coordenadas
Acaraú,ACARAU,-2.887689,-40.118306,622,companhia,companhia,4º BPRAIO,Sobral,Acaraú,Sobral,Companhia Litoral (Acaraú) para coordenação regional do setor costeiro.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Acopiara,ACOPIARA,-6.089114,-39.448042,623,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Iguatu,Iguatu,Pelotão atualmente subordinado a Iguatu.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Amontada,AMONTADA,-3.360166,-39.830743,629,pelotao,pelotao,4º BPRAIO,Sobral,Acaraú,Acaraú,Pelotão atualmente subordinado a Acaraú.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Aquiraz,AQUIRAZ,-3.899293,-38.389563,631,companhia,companhia,2º BPRAIO,Caucaia,Aquiraz,Caucaia,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Aracati,ARACATI,-4.558259,-37.767894,632,companhia,companhia,3º BPRAIO,Russas,Aracati,Russas,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Aracoiaba,ARACOIABA,-4.371805,-38.812471,633,pelotao,pelotao,3º BPRAIO,Russas,Quixadá,Quixadá,Pelotão atualmente subordinado a Quixadá.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Aurora,AURORA,-6.942651,-38.967633,638,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Brejo Santo,Brejo Santo,Subordinação à Companhia de Brejo Santo (eixo BR-116 / integração territorial).,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Barbalha,BARBALHA,-7.311391,-39.302506,641,companhia,companhia,5º BPRAIO,Juazeiro do Norte,Barbalha,Juazeiro do Norte,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Baturité,BATURITE,-4.328526,-38.884358,646,pelotao,pelotao,3º BPRAIO,Russas,Quixadá,Quixadá,Pelotão atualmente subordinado a Quixadá.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Beberibe,BEBERIBE,-4.177415,-38.127075,647,pelotao,pelotao,3º BPRAIO,Russas,Aracati,Aracati,Pelotão atualmente subordinado a Aracati.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Bela Cruz,BELA CRUZ,-3.050514,-40.167126,648,pelotao,pelotao,4º BPRAIO,Sobral,Acaraú,Acaraú,Pelotão atualmente subordinado a Acaraú.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Boa Viagem,BOA VIAGEM,-5.122413,-39.732217,649,pelotao,pelotao,3º BPRAIO,Russas,Quixeramobim,Quixeramobim,"Distância mitigada via subordinação operacional à Cia Quixeramobim, otimizando recursos.",index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Brejo Santo,BREJO SANTO,-7.493608,-38.986519,651,companhia,companhia,5º BPRAIO,Juazeiro do Norte,Brejo Santo,Juazeiro do Norte,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Camocim,CAMOCIM,-2.900501,-40.841281,655,companhia,companhia,4º BPRAIO,Sobral,Camocim,Sobral,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Campos Sales,CAMPOS SALES,-7.074116,-40.376407,656,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Tauá,Tauá,Pelotão atualmente subordinado a Tauá.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Canindé,CANINDE,-4.358796,-39.311762,657,companhia,companhia,4º BPRAIO,Sobral,Canindé,Sobral,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Caririaçu,CARIRIACU,-7.042029,-39.28423,658,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Barbalha,Barbalha,Subordinação à Companhia de Barbalha (integração metropolitana do Cariri).,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Cascavel,CASCAVEL,-4.129666,-38.241178,660,pelotao,pelotao,2º BPRAIO,Caucaia,Aquiraz,Aquiraz,Pelotão atualmente subordinado a Aquiraz.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Caucaia,CAUCAIA,-3.727966,-38.661931,663,batalhao,batalhao,2º BPRAIO,Caucaia,Caucaia,Caucaia,Sede atual do batalhão.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Cedro,CEDRO,-6.600049,-39.06087,662,pelotao,pelotao,5º BPRAIO,Juazeiro do Norte,Iguatu,Iguatu,Pelotão atualmente subordinado a Iguatu.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Chorozinho,CHOROZINHO,-4.28873,-38.498572,667,pelotao,pelotao,2º BPRAIO,Caucaia,Horizonte,Horizonte,Pelotão atualmente subordinado a Horizonte.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Crateús,CRATEUS,-5.176437,-40.677893,668,companhia,cia_independente,5º BPRAIO,Juazeiro do Norte,Crateús,Crateús,Outlier por distância crítica (Análise de Outliers do 5º BPRAIO).,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Crato,CRATO,-7.23114,-39.41071,669,companhia,companhia,5º BPRAIO,Juazeiro do Norte,Crato,Juazeiro do Norte,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Cruz,CRUZ,-2.918137,-40.17514,670,pelotao,pelotao,4º BPRAIO,Sobral,Acaraú,Acaraú,Pelotão atualmente subordinado a Acaraú.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
Eusébio,EUSEBIO,-3.892501,-38.455875,675,companhia,companhia,2º BPRAIO,Caucaia,Eusébio,Caucaia,Companhia atual da estrutura em vigor.,index.html::distribuicaoOficialAtual,dados/cidades/municipios.json
